series,n,mean,std,halflife_ticks,ar1_lambda,adf_p,hurst,vr_2,vr_5,vr_10,vr_50,ac1_dx
day0::VELVETFRUIT_EXTRACT_mid,10000,5246.51025,13.677111169303991,206.46202217859468,-0.003357262382911062,0.007342192260626399,0.9679340042378212,0.8490233083603482,0.7713019731407669,0.7524871434950205,0.7340588414308729,-0.15097710979094695
day0::VELVETFRUIT_EXTRACT_logret,10000,8.565315024776673,0.0026054867783212613,206.23379995970322,-0.0033609775928842987,0.0073022692475547156,0.9679353673134153,0.8489328825256994,0.7710332983850251,0.7521048461519146,0.7336880629938792,-0.15106749723007226
day0::VEV_5000_mid,10000,253.2595,12.488214834394867,231.45482789632894,-0.0029947406449020507,0.007333523023872066,0.9658808376784145,0.9048290265152273,0.8586500125035713,0.8470962780699774,0.8385318967925235,-0.09501922176129539
day0::VEV_5000_dh_resid,10000,8.160979594705996,4.9401004837643425,68.7964424421064,-0.010075334653288835,0.970771263049553,1.1130719058581249,0.5000046222688497,0.19888114401491858,0.09943864193446403,0.020364789104513312,-0.5000110684107842
day0::VEV_5000_iv,10000,0.01264632166473122,0.0002597887693263026,0.8361114919410112,-0.8290128616111017,1.033070568506648e-06,0.7585940655169378,0.5016700840697584,0.1985066180558488,0.09939558196018222,0.02042125914865948,-0.49834624226563184
day0::VEV_5100_mid,10000,168.1077,10.954236655741925,243.46788358892377,-0.0028469758324686035,0.00929360073536382,0.9670703348776326,0.9103129215955352,0.8666157451234139,0.8625996820830979,0.8599175242904252,-0.08969496368094716
day0::VEV_5100_dh_resid,10000,7.134520759615075,4.114104123596411,65.50411284319465,-0.010581735260184624,0.9076613540018332,1.1020578826448715,0.500273976711834,0.20030609847792438,0.10037152965065119,0.021267842063889483,-0.4997724387039355
day0::VEV_5100_iv,10000,0.012794460572158377,0.0001718761966693898,1.8827174408650362,-0.3681631483912269,0.12494157888057211,0.975344605355846,0.5020121394067759,0.20053732945629152,0.10035536942920219,0.021253261605761836,-0.4980341930257772
day0::VEV_5200_mid,10000,97.4709,8.165255855758593,199.84586526106463,-0.00346840891431237,0.005353201357198451,0.9693102670873642,0.8558025901587463,0.7863484319104237,0.7678429365374584,0.751998569050749,-0.1441901165847653
day0::VEV_5200_dh_resid,10000,5.223360584965465,3.672342928416955,70.47520786302027,-0.009835333609901324,0.9924373137517158,1.0706679356252868,0.49769581003492064,0.20254181290633022,0.10198561763675977,0.02192808309617668,-0.5022322164675481
day0::VEV_5200_iv,10000,0.012555763465064424,0.0001720337574862197,4.624571529720008,-0.14988354620647668,0.8190236416625709,1.053148552830547,0.4990703355896059,0.20273672114293445,0.10214234243590838,0.021876151860906974,-0.50085625194993
