timestamp,5000,5100,5200,5300,5400,5500,S,T
0,7.745307496578521e-06,4.883442291611986e-06,-6.128112192753041e-05,7.4861240692288e-05,-2.4125030799416677e-05,-2.0838377535643826e-06,5250.0,8.0
100,4.7243212644364554e-05,-8.555019059943228e-05,4.690381753390954e-06,1.842857869412476e-05,5.5110347921855096e-05,-3.992233041430135e-05,5250.5,7.9999
200,-2.8070483366201063e-05,5.443608343743203e-05,1.1113648074982663e-06,-4.53378576441045e-05,9.924358560998298e-06,7.936534204354417e-06,5250.5,7.9998
300,1.0223781321604813e-05,-1.6741804635575855e-05,2.931187308031352e-06,-1.2915156281790088e-05,3.290003674521341e-05,-1.6398044457461083e-05,5250.5,7.9997
400,-2.807083426253909e-05,5.443676391814721e-05,1.1113787002376557e-06,-4.533842439214883e-05,9.924482620968927e-06,7.936633415344535e-06,5250.5,7.9996
500,-6.982068726691867e-06,1.852745476960821e-05,-4.92460671786335e-06,-2.6464134840128994e-05,2.850178659685558e-05,-8.658431081807333e-06,5249.5,7.9995
600,1.2377679860698168e-05,4.1149513865784e-06,-6.164824868071586e-05,3.1698013562838495e-05,4.3231122165220126e-05,-2.9773518294577694e-05,5248.5,7.9994
700,1.237775722777966e-05,4.114977107073578e-06,-6.164863401479821e-05,3.169821169224894e-05,4.323139238250097e-05,-2.9773704394789324e-05,5248.5,7.9993
800,9.062796465212145e-06,-3.5399113708556654e-05,3.9762100613778203e-05,3.0789282930102774e-06,-2.916533407679861e-05,1.2660622413297393e-05,5247.5,7.9992
900,-2.0949146864889315e-05,4.692947509757524e-05,-1.8154026527959777e-05,-1.5089825532358866e-05,1.6531098571328368e-06,5.610413970437433e-06,5246.5,7.9991
1000,-2.87304010531432e-05,2.205529078654414e-05,6.74899005138549e-05,-3.944483703371103e-05,-6.820085447897112e-05,4.68309012654107e-05,5247.5,7.999
1100,1.3782975637581518e-05,-4.2202975054724326e-05,4.758231424137685e-05,-2.842498358648915e-05,1.4006999731780434e-05,-4.7443309695097136e-06,5248.5,7.9989
1200,1.2378144084557174e-05,4.115105717628076e-06,-6.165056079362671e-05,3.169920239446192e-05,4.3232743544993624e-05,-2.97746349480401e-05,5248.5,7.9988
